initial,final,count,source
a,bao,13,corpus
a,bin,11,corpus+byline
a,bing,5,corpus+byline
a,cai,8,corpus
a,cheng,11,corpus+byline
a,chun,8,corpus
a,da,12,corpus
a,dan,6,corpus+byline
a,de,5,corpus+byline
a,dong,13,corpus+byline
a,e,5,corpus+byline
a,fang,12,corpus+byline
a,feng,18,corpus+byline
a,fu,11,corpus
a,gen,15,corpus
a,gui,6,corpus
a,guo,7,corpus+byline
a,hai,8,corpus+byline
a,hong,10,corpus+byline
a,hu,7,corpus
a,hua,17,corpus
a,hui,18,corpus+byline
a,jiao,5,corpus
a,jin,8,corpus+byline
a,jing,13,corpus+byline
a,juan,18,corpus+byline
a,jun,13,corpus+byline
a,lai,6,corpus+byline
a,lan,12,corpus+byline
a,lei,5,corpus+byline
a,li,65,corpus+byline
a,lian,6,corpus
a,lin,18,corpus+byline
a,ling,28,corpus+byline
a,long,38,corpus+byline
a,lun,6,corpus+byline
a,man,17,corpus+byline
a,mao,21,corpus
a,mei,44,corpus+byline
a,min,25,corpus+byline
a,ming,28,corpus+byline
a,mu,5,corpus
a,na,16,corpus+byline
a,nan,11,corpus+byline
a,ni,19,corpus+byline
a,ning,5,corpus
a,niu,10,corpus
a,peng,5,corpus+byline
a,ping,20,corpus+byline
a,qiang,18,corpus+byline
a,qin,9,corpus+byline
a,qing,6,corpus
a,rong,19,corpus+byline
a,san,13,corpus
a,sheng,5,corpus
a,shui,6,corpus
a,shun,6,corpus
a,si,13,corpus
a,wei,5,corpus+byline
a,wen,5,corpus
a,wu,5,corpus
a,xi,5,corpus+byline
a,xiang,28,corpus+byline
a,xin,8,corpus+byline
a,xing,12,corpus+byline
a,ying,17,corpus+byline
a,yong,20,corpus+byline
a,yu,7,corpus
a,yuan,5,corpus+byline
a,zhen,12,corpus+byline
a,zhu,8,corpus+byline
ai,ai,77,corpus+byline
ai,bao,20,corpus+byline
ai,bin,77,corpus+byline
ai,bing,84,corpus+byline
ai,bo,27,corpus+byline
ai,chao,16,corpus+byline
ai,chen,16,corpus+byline
ai,cheng,19,corpus+byline
ai,chi,13,corpus+byline
ai,chu,10,corpus+byline
ai,chun,80,corpus+byline
ai,ci,9,corpus+byline
ai,cun,7,corpus+byline
ai,dan,13,corpus+byline
ai,di,103,corpus+byline
ai,dong,151,corpus+byline
ai,e,30,corpus+byline
ai,fang,137,corpus+byline
ai,fei,21,corpus+byline
ai,fen,114,corpus+byline
ai,feng,104,corpus+byline
ai,fu,10,corpus+byline
ai,gang,14,corpus+byline
ai,gen,8,corpus+byline
ai,guang,19,corpus+byline
ai,guo,302,corpus+byline
ai,he,9,corpus
ai,heng,5,corpus+byline
ai,hong,234,corpus+byline
ai,hu,17,corpus+byline
ai,hua,579,corpus+byline
ai,hui,81,corpus+byline
ai,jia,47,corpus+byline
ai,jian,13,corpus+byline
ai,jiang,11,corpus+byline
ai,jiao,52,corpus+byline
ai,jie,41,corpus+byline
ai,jin,16,corpus+byline
ai,jing,89,corpus+byline
ai,ju,72,corpus+byline
ai,juan,106,corpus+byline
ai,jun,384,corpus+byline
ai,ke,13,corpus+byline
ai,kun,5,corpus
ai,lan,128,corpus+byline
ai,li,272,corpus+byline
