syllable,initial_count,final_count,source
a,1059,176,corpus+byline
ai,8986,1034,corpus+byline
an,5473,8413,corpus+byline
ang,73,546,corpus+byline
ao,479,541,corpus+byline
ba,72,28,corpus+byline
bai,3217,897,corpus+byline
ban,70,29,corpus+byline
bang,1460,1096,corpus+byline
bao,12019,6271,corpus+byline
bei,1830,1498,corpus+byline
ben,2197,414,corpus+byline
bi,3587,787,corpus+byline
bian,121,61,corpus+byline
biao,119,3557,corpus+byline
bie,5,4,corpus+byline
bin,2786,21088,corpus+byline
bing,8170,9818,corpus+byline
bo,6851,18538,corpus+byline
bu,619,75,corpus+byline
cai,5787,6579,corpus+byline
can,1068,1223,corpus+byline
cang,135,338,corpus+byline
cao,133,210,corpus+byline
ce,70,206,corpus+byline
cen,84,205,corpus+byline
ceng,78,120,corpus+byline
cha,68,37,corpus+byline
chai,89,183,corpus+byline
chan,783,1123,corpus+byline
chang,11953,7053,corpus+byline
chao,9199,12017,corpus+byline
che,889,998,corpus+byline
chen,8269,10821,corpus+byline
cheng,18555,19923,corpus+byline
chi,4125,3812,corpus+byline
chong,2812,904,corpus+byline
chou,113,482,corpus+byline
chu,2466,2151,corpus+byline
chuan,7199,5867,corpus+byline
chuang,420,359,corpus+byline
chui,216,16,corpus+byline
chun,24051,16041,corpus+byline
chuo,3,4,corpus
ci,310,615,corpus+byline
cong,2853,3050,corpus+byline
cui,4298,1358,corpus+byline
cun,1469,955,corpus+byline
cuo,0,1,corpus
da,11952,4043,corpus+byline
dai,1843,108,corpus+byline
dan,4637,4409,corpus+byline
dang,155,141,corpus+byline
dao,3168,600,corpus+byline
de,16226,5702,corpus+byline
deng,1974,205,corpus+byline
di,1162,4524,corpus+byline
dian,1439,338,corpus+byline
diao,22,24,corpus+byline
die,17,238,corpus+byline
ding,3296,1330,corpus+byline
dong,16099,19528,corpus+byline
dou,147,370,corpus+byline
du,406,239,corpus+byline
duan,453,264,corpus+byline
dun,455,97,corpus+byline
duo,583,773,corpus+byline
e,136,2811,corpus+byline
en,2955,2854,corpus+byline
er,2108,1840,corpus+byline
fa,2790,5270,corpus+byline
fan,2423,5578,corpus+byline
fang,7868,22026,corpus+byline
fei,4596,17449,corpus+byline
fen,943,8303,corpus+byline
feng,12571,37887,corpus+byline
fo,47,19,byline
fu,12615,12637,corpus+byline
ga,52,10,corpus+byline
gai,465,149,corpus+byline
gan,373,397,corpus+byline
gang,1050,12379,corpus+byline
gao,2717,1699,corpus+byline
ge,626,2373,corpus+byline
gen,1972,3785,corpus+byline
geng,836,792,corpus+byline
gong,1329,1216,corpus+byline
gou,27,38,corpus+byline
gu,288,477,corpus+byline
guan,4337,442,corpus+byline
guang,17273,9920,corpus+byline
gui,12180,5436,corpus+byline
guo,23800,10770,corpus+byline
ha,122,214,corpus+byline
hai,24777,9867,corpus+byline
han,7473,8569,corpus+byline
hang,923,3107,corpus+byline
hao,8863,13436,corpus+byline
he,4466,7044,corpus+byline
hei,67,94,corpus+byline
heng,2781,4124,corpus+byline
