particle,language,first_ratio,tier
van,dutch,0.119,safe
von,german,0.167,safe
der,dutch_german,0.105,safe
den,dutch,0.051,safe
vander,dutch,0.225,safe
de,romance,0.091,safe
del,spanish_italian,0.074,safe
della,italian,0.216,safe
di,italian,0.328,ambiguous
da,italian_portuguese,0.269,safe
dos,portuguese,0.037,safe
das,portuguese,0.019,safe
do,portuguese,0.444,ambiguous
du,french,0.151,safe
la,romance,0.173,safe
le,french,0.321,ambiguous
el,arabic,0.099,safe
al,arabic,0.073,safe
ten,dutch,0.177,safe
ter,dutch,0.15,safe
des,french,0.618,ambiguous
bin,arabic,0.779,ambiguous
ibn,arabic,0.574,ambiguous
abu,arabic,0.325,ambiguous
ben,arabic_hebrew,0.621,ambiguous
st,scottish,0.386,ambiguous
