syllable,surname_count,given_count
a,0,16
aadarsh,0,1
aaditya,0,1
aaron,0,5
aarsen,1,0
aashish,0,1
abacha,1,0
abbas,0,1
abbaszadeh,1,0
abbott,1,0
abdelaziz,1,0
abdelfadil,1,0
abdelhak,0,1
abdellah,0,1
abdelnabi,1,0
abdelrahim,0,1
abdelrahman,0,1
abdi,1,0
abdulfattah,0,1
abdullah,1,1
abdullahi,1,0
abdullatif,0,1
abdulmumin,1,0
abdulrahman,0,2
abebe,0,1
abhijit,0,1
abhijnan,0,1
abhik,0,1
abhilasha,0,1
abhinav,0,2
abhisheik,0,1
abigail,0,1
abinav,0,1
abraham,0,1
abudukeyumu,0,1
abudula,1,0
abudurexiti,0,1
abul,0,2
abzaliev,1,0
acampa,1,0
achananuparp,1,0
acikgoz,1,0
adam,0,8
adams,1,0
adebara,1,0
adeen,0,1
adel,1,0
adelani,1,0
adelina,0,1
adeshina,1,0
adhiraj,0,1
adhya,1,0
adi,0,1
adiga,1,0
adilazuarda,1,0
adisai,0,1
adish,0,1
adithya,0,2
aditi,0,1
aditri,0,1
aditya,0,6
adkathimar,1,0
adorno,1,0
adrian,0,3
adriana,0,1
adrita,0,1
adryan,0,1
adversarial,0,1
aekta,0,1
affan,0,1
afrah,0,1
africa,1,0
agarwal,5,0
agassy,1,0
agastya,0,1
agerri,1,0
aggarwal,2,0
agirre,1,0
aglietti,1,0
agnieszka,0,1
agrawal,4,0
agustin,0,1
ahmad,2,1
ahmadi,1,0
ahmed,2,4
ahmedi,1,0
ahn,5,0
ahsan,0,1
ahuja,1,0
ai,2,0
aibo,0,1
aidan,0,1
aidar,0,1
aili,0,1
aimerou,0,1
aimin,0,2
aisha,0,1
aishan,0,2
aishik,0,1
ait,0,1
aitaro,0,1
aiti,0,1
aiwei,0,1
aizawa,1,0
aizirek,0,1
ajay,0,1
aji,1,0
aka,1,0
akang,0,1
akash,1,2
akbar,0,1
akbarzadeh,0,1
akbik,1,0
akella,1,0
akhil,0,1
akhila,0,2
akhmed,0,1
akhter,1,0
akhundjanova,1,0
akmal,0,1
ako,0,1
akshat,0,2
akshatha,0,1
akshay,0,4
akul,0,1
al,0,1
alabi,1,0
alam,1,0
alan,0,4
alatir,1,0
albanie,1,0
albert,0,1
alberto,0,1
aldama,0,1
aldarmaki,1,0
alden,0,1
alekh,0,1
alesh,1,0
alessia,0,1
alessio,0,2
alex,1,3
alexey,0,3
alexis,0,3
alghamdi,1,0
alhafni,1,0
alham,0,1
alhamouri,1,0
alharbi,1,0
alharthi,1,0
ali,3,8
alice,0,1
alicia,0,2
alikhani,1,0
alimova,1,0
aline,0,2
alipoormolabashi,1,0
alireza,0,2
alisheva,1,0
alistair,0,1
alistarh,1,0
aljunied,1,0
alkawi,1,0
alkhouli,1,0
allison,0,1
almheiri,1,0
almubarak,1,0
alois,0,1
alok,0,1
alomari,1,0
alon,0,1
alonso,1,0
alperen,0,1
alqassem,1,0
alquabeh,1,0
alraeesi,1,0
alsagheer,1,0
alsayadi,1,0
alshahrani,1,0
alshalan,1,0
althoff,1,0
alurkar,1,0
alvari,1,0
alvaro,0,1
alvin,0,2
alwajih,1,0
amadeo,0,1
amal,0,1
amalvy,1,0
aman,0,2
ameen,0,1
ameer,1,0
amelie,0,1
ameya,0,1
amigo,1,0
amin,0,4
amina,0,1
amine,0,1
amini,1,0
amir,0,5
amiraz,1,0
amirbek,0,1
amit,0,4
amith,0,1
amjad,1,0
amouyal,1,0
amr,0,2
amrit,0,1
amy,0,1
an,6,6
ana,0,2
anab,0,1
ananiadou,1,0
ananth,0,1
anantha,0,2
ananthram,1,0
ananya,0,1
anar,0,1
anastasia,0,1
anastasiou,1,0
anastasiya,0,1
anastasopoulos,1,0
anastassia,0,1
anej,0,1
anelli,1,0
aneta,0,1
anette,0,1
anfel,0,1
ang,0,2
angel,0,1
angelika,0,1
angelina,0,2
angrave,1,0
angus,0,1
anh,0,3
anika,1,0
aniket,0,2
aniketh,0,1
anil,0,1
aniruddha,0,1
anirudh,0,1
anis,0,1
anjanette,0,1
ankita,0,1
ankush,0,1
anmin,0,1
anmol,0,1
ann,0,1
anna,0,6
annavaram,1,0
anne,0,3
anneliese,0,1
annemarie,0,1
annie,0,1
anningzhe,0,1
annotation,0,1
anoop,0,1
ansar,0,1
ansel,0,1
anshuman,0,1
ansori,1,0
anssi,0,1
ante,0,1
anthis,1,0
anthony,0,4
antoine,0,4
antonia,0,1
antoniak,1,0
antonietta,0,1
antonin,0,1
antonio,0,4
antonios,0,1
anubha,0,1
anudeex,0,1
anugraha,2,0
anuj,0,1
anukriti,0,1
anumanchipalli,1,0
anurag,0,1
anushka,0,1
anwar,1,1
anwen,0,1
anxiang,0,1
anya,0,1
anyi,0,1
ao,3,1
aobo,0,1
aofei,0,1
aojun,0,1
aomi,0,1
aoqiang,0,1
aoyama,1,0
aparna,0,1
aparovich,1,0
aponte,1,0
aptekar,1,0
aquino,1,0
arachchige,1,0
araque,1,0
araujo,1,0
aravind,0,1
aravindan,0,1
arbour,1,0
archan,0,1
archiki,0,1
ardeshir,0,1
