surname,last_ct,ratio
kim,3050618.0,0.913
lee,2921292.0,0.916
de,1965170.0,0.909
silva,1262938.0,0.985
park,1177985.0,0.968
garcia,1167186.0,0.978
smith,1104984.0,0.986
kumar,1033738.0,0.95
singh,983489.0,0.985
al,868397.0,0.927
gonzalez,787146.0,0.978
rodriguez,782947.0,0.977
lopez,745146.0,0.976
santos,741456.0,0.976
martinez,733994.0,0.978
choi,661437.0,0.966
perez,650742.0,0.976
sanchez,627567.0,0.977
jones,626112.0,0.984
el,619059.0,0.901
oliveira,608312.0,0.99
johnson,602044.0,0.969
sharma,591363.0,0.984
fernandez,581993.0,0.981
brown,572049.0,0.987
williams,547518.0,0.979
khan,541250.0,0.978
miller,517921.0,0.984
gupta,484010.0,0.987
hernandez,468230.0,0.979
gomez,446210.0,0.976
costa,426561.0,0.983
cho,407284.0,0.94
souza,402013.0,0.989
muller,397782.0,0.99
suzuki,374414.0,0.977
patel,369767.0,0.983
tanaka,365774.0,0.976
pereira,353812.0,0.986
wong,351812.0,0.972
schmidt,348452.0,0.991
diaz,341230.0,0.974
lim,338975.0,0.933
davis,337836.0,0.962
rao,336619.0,0.939
ferreira,330117.0,0.986
sato,319780.0,0.972
thompson,307119.0,0.98
white,305575.0,0.986
lima,305205.0,0.986
takahashi,304949.0,0.975
ruiz,302801.0,0.975
shah,295678.0,0.94
watanabe,295469.0,0.975
das,295038.0,0.981
castro,291521.0,0.98
nakamura,288643.0,0.976
yamamoto,287183.0,0.976
torres,284727.0,0.974
moore,282602.0,0.986
alvarez,278380.0,0.977
cohen,277382.0,0.988
meyer,274429.0,0.973
cruz,263534.0,0.963
clark,262271.0,0.908
carvalho,261395.0,0.989
kobayashi,261119.0,0.975
evans,258692.0,0.963
jimenez,255589.0,0.976
junior,255004.0,0.976
rodrigues,254385.0,0.984
harris,252881.0,0.939
moreno,248911.0,0.959
schneider,247620.0,0.992
ramirez,244076.0,0.973
walker,242270.0,0.971
rahman,240696.0,0.934
hall,239217.0,0.984
roberts,237907.0,0.981
ramos,237724.0,0.979
hwang,236437.0,0.938
almeida,232984.0,0.987
wright,232857.0,0.983
robinson,231755.0,0.952
ito,223543.0,0.972
munoz,222980.0,0.977
campbell,220646.0,0.955
gutierrez,219205.0,0.975
fischer,218833.0,0.991
king,217692.0,0.911
reddy,215936.0,0.971
weber,215035.0,0.983
jain,214803.0,0.982
hill,214506.0,0.983
baker,212363.0,0.979
martins,212260.0,0.97
green,211952.0,0.986
araujo,210607.0,0.987
yamada,209792.0,0.977
hansen,208023.0,0.979
ribeiro,206188.0,0.984
kato,205768.0,0.973
yoshida,205386.0,0.975
filho,205020.0,0.997
saito,202342.0,0.975
一郎,201600.0,0.983
romero,200259.0,0.97
klein,200156.0,0.99
murphy,198443.0,0.985
davies,194631.0,0.986
adams,192245.0,0.978
wood,191686.0,0.985
mishra,190952.0,0.987
hsu,190772.0,0.915
gomes,189473.0,0.984
alves,186236.0,0.982
cooper,185530.0,0.973
sousa,183594.0,0.99
jensen,183020.0,0.98
edwards,182484.0,0.984
phillips,181621.0,0.981
ghosh,178307.0,0.99
ng,178042.0,0.939
becker,176674.0,0.989
inoue,176011.0,0.973
morales,175768.0,0.974
fernandes,174232.0,0.985
tsai,172537.0,0.915
lopes,169068.0,0.985
turner,168670.0,0.982
neto,168263.0,0.996
hughes,167677.0,0.984
rocha,165004.0,0.987
andrade,164438.0,0.982
pinto,163843.0,0.982
flores,163825.0,0.971
mori,162661.0,0.973
ahn,162331.0,0.959
matsumoto,161518.0,0.976
bell,161391.0,0.982
collins,158906.0,0.952
hayashi,158537.0,0.972
campos,157856.0,0.983
alonso,157704.0,0.924
ward,155497.0,0.914
parker,155486.0,0.949
watson,155319.0,0.974
peters,154679.0,0.988
rossi,154352.0,0.983
ortiz,153858.0,0.974
nielsen,153622.0,0.988
vazquez,153448.0,0.98
fisher,153060.0,0.982
castillo,152729.0,0.975
navarro,152454.0,0.981
yadav,152429.0,0.98
cook,152035.0,0.989
kimura,151766.0,0.976
del,151562.0,0.926
sullivan,149308.0,0.986
yamaguchi,147041.0,0.973
